"","long","lat","heuteVok","breitVok","wachsenVokStem","wachsenVokEnd","butter"
"137",8.09406,47.60368,"ü","ei","V-short","a/o","Anke(n)"
"138",7.32318,47.60479,"i/ie","ei","V-short","a/o","Anke(n)"
"139",7.57149,47.60532,"i/ie","ei","V-short","a/o","Butter"
"140",7.97281,47.60577,"ü","ei","V-short","a/o","Butter"
"141",7.11466,47.60658,"i/ie","ei","V-short","a/o","Butter"
"142",7.41694,47.60722,"e","ei","V-short","a/o","Butter"
"143",8.29552,47.60851,"sonst","ei","V-long","e","Anke(n)"
"144",8.17239,47.60884,"ü","ei","V-short","a/o","Anke(n)"
"145",7.66409,47.61258,"ü","ei","V-short","a/o","Butter"
"146",7.66409,47.61258,"ü","ei","V-short","a/o","Butter"
"147",7.66409,47.61258,"ü","ei","V-short","a/o","Butter"
"148",7.66409,47.61258,"ü","ei","V-short","a/o","Butter"
"149",7.95943,47.61266,"ü","ei","V-short","a/o","Butter"
"150",7.61378,47.61384,"ü","ei","V-short","a/o","Butter"
"151",8.11336,47.61399,"ü","ei","V-short","a/o","Butter"
"152",7.21307,47.61448,"e","ei","V-short","a/o","Butter"
"153",7.76116,47.61477,"ü","ei","V-short","a/o","Butter"
"154",7.85693,47.61597,"ü","ei","V-short","a/o","Anke(n)"
"155",8.4644,47.61616,"ü","ei","V-short","a/o","Butter"
"156",7.10508,47.6176,"i/ie","ei","V-short","a/o","Butter"
"157",7.81682,47.6184,"ü","ei","V-short","a/o","Butter"
"158",8.07095,47.61851,"ü","ei","V-short","a/o","Anke(n)"
"159",7.97772,47.61891,"ü","ei","V-short","a/o","Butter"
"160",8.39181,47.61975,"ü","ei","V-short","a/o","Butter"
"161",7.44156,47.61975,"ü","ei","V-short","a/o","Butter"
"162",8.39181,47.61975,"i/ie","ei","V-short","a/o","Butter"
"163",7.44156,47.61975,"i/ie","ei","V-short","a/o","Butter"
"164",7.27817,47.62015,"i/ie","ei","V-short","a/o","Anke(n)"
"165",8.32685,47.62036,"ü","ei","V-short","a/o","Butter"
"166",8.04597,47.62098,"ü","ei","V-short","a/o","Anke(n)"
"167",7.30232,47.62138,"e","ei","V-short","a/o","Butter"
"168",7.62133,47.62261,"ü","ei","V-short","a/o","Butter"
"169",8.21445,47.6237,"ü","ei","V-short","a/o","Anke(n)"
"170",8.48357,47.62374,"ü","ei","V-short","a/o","Butter"
"171",7.3676,47.62375,"i/ie","ei","V-short","a/o","Anke(n)"
"172",7.29244,47.62397,"i/ie","ei","V-short","a/o","Anke(n)"
"173",7.52868,47.62399,"e","ei","V-short","a/o","Butter"
"174",8.4462,47.6245,"ü","ei","V-short","a/o","Butter"
"175",7.1624,47.625,"e","ei","V-short","a/o","Butter"
"176",8.1477,47.62511,"ü","ei","k.A.","k.A.","Anke(n)"
"177",8.13384,47.62519,"ü","ei","V-short","a/o","Butter"
"178",8.56963,47.62576,"ü","ei","V-short","a/o","Butter"
"179",7.24009,47.62592,"e","ei","V-short","a/o","Butter"
"180",7.24009,47.62592,"e","ei","V-short","a/o","Butter"
"181",7.24009,47.62592,"i/ie","ei","V-short","a/o","Anke(n)/Butter"
"182",7.24009,47.62592,"i/ie","ei","V-short","a/o","Anke(n)/Butter"
"183",7.42942,47.6261,"e","ei","V-short","a/o","Butter"
"184",7.45901,47.62634,"e","ei","V-short","a/o","Anke(n)"
"185",7.58103,47.627,"ü","ei","V-short","a/o","Butter"
"186",7.65564,47.62739,"ü","ei","V-long","a/o","Anke(n)/Butter"
"187",8.4114,47.62774,"ü","ei","V-short","a/o","Butter"
"188",7.94873,47.62902,"ü","ei","V-long","e","Butter"
"189",7.9045,47.62927,"ü","ei","V-short","a/o","Anke(n)/Butter"
"190",7.1214,47.63024,"i/ie","ei","k.A.","k.A.","Butter"
"191",8.07093,47.63063,"ü","ei","V-short","a/o","Anke(n)"
"192",7.09315,47.63072,"e","ei","V-short","a/o","Butter"
"193",8.30394,47.63095,"ü","ei","V-short","a/o","Butter"
"194",7.59518,47.63113,"ü","ei","V-long","a/o","Butter"
"195",7.74114,47.63121,"ü","ei","V-long","a/o","Butter"
"196",7.62403,47.63133,"ü","ei","V-long","a/o","Anke(n)"
"197",7.34876,47.63135,"i/ie","ei","V-short","a/o","Anke(n)"
"198",7.05852,47.63139,"e","ei","V-short","a/o","Butter"
"199",7.02504,47.63178,"i/ie","ei","V-short","a/o","Butter"
"200",8.18086,47.6336,"ü","ei","V-short","a/o","Butter"
"201",7.47707,47.63392,"e","ei","V-short","a/o","Butter"
"202",7.69236,47.63395,"ü","ei","V-short","a/o","Anke(n)"
"203",8.28181,47.63443,"ü","ei","V-short","a/o","Anke(n)/Butter"
"204",7.1132,47.63625,"e","ei","V-long","e","Anke(n)/Butter"
"205",7.81236,47.63655,"ü","ei","V-short","a/o","Butter"
"206",7.53493,47.63685,"e","ei","V-short","a/o","Butter"
"207",7.976,47.63697,"ü","ei","V-short","a/o","Butter"
"208",7.67898,47.63703,"ü","ei","V-short","a/o","Anke(n)/Butter"
"209",8.51054,47.63723,"ü","ei","V-short","a/o","Butter"
"210",7.41155,47.6393,"i/ie","ei","V-short","a/o","Anke(n)/Butter"
"211",7.74574,47.63943,"ü","ei","V-long","a/o","Butter"
"212",7.26432,47.63975,"i/ie","ei","V-short","a/o","Anke(n)"
"213",7.23354,47.6401,"i/ie","ei","V-short","a/o","Anke(n)"
"214",7.77782,47.64075,"ü","ei","V-short","a/o","Butter"
"215",7.64143,47.64099,"ü","ei","V-short","a/o","Anke(n)"
"216",8.24698,47.64159,"ü","ei","V-short","a/o","Anke(n)"
"217",8.07817,47.64186,"ü","ei","V-short","a/o","Anke(n)"
"218",7.31001,47.64239,"sonst",NA,"V-short","a/o","Anke(n)"
"219",7.69375,47.64287,"ü","ei","V-short","a/o","Anke(n)/Butter"
"220",7.13318,47.64299,"e","ei","V-short","a/o","Anke(n)"
"221",8.35642,47.64323,"ü","ei","V-short","a/o","Butter"
"222",7.73911,47.64447,"ü","ei","V-short","a/o","Anke(n)/Butter"
"223",8.45797,47.64517,"ü","ei","V-short","a/o","Butter"
"224",8.13573,47.64543,"ü","ei","V-short","a/o","Anke(n)"
"225",7.83816,47.6471,"ü","ei","V-short","a/o","Anke(n)"
"226",8.01475,47.64742,"sonst","ei","V-short","a/o","Anke(n)"
"227",8.34737,47.64854,"ü","ei","V-short","a/o","Butter"
"228",7.82315,47.64973,"ü","ei","V-short","a/o","Butter"
"229",7.56471,47.64989,"ü","ei","V-short","a/o","Anke(n)"
"230",7.56471,47.64989,"ü","ei","V-short","a/o","Anke(n)"
"231",7.56471,47.64989,"ü","ei","V-short","a/o","Anke(n)/Butter"
"232",7.56471,47.64989,"ü","ei","V-short","a/o","Anke(n)/Butter"
"233",8.39987,47.6501,"ü","ei","V-short","a/o","Butter"
"234",7.15712,47.65028,"i/ie","ei","V-short","a/o","Butter"
"235",7.99251,47.65054,"ü","ei","V-short","a/o","Butter"
"236",7.44285,47.65062,"e","ei","V-short","a/o","Anke(n)"
"237",7.394,47.65091,"e","ei","V-short","a/o","Butter"
"238",7.394,47.65091,"e","ei","V-short","a/o","Butter"
"239",7.394,47.65091,"e","ei","V-short","a/o","Anke(n)"
"240",7.394,47.65091,"e","ei","V-short","a/o","Anke(n)"
"241",8.30617,47.65178,"ü","ei","V-short","a/o","Anke(n)/Butter"
"242",7.37595,47.65241,NA,"ei","V-short","a/o","Anke(n)"
"243",8.57572,47.65297,"ü","ei","V-short","a/o","Butter"
"244",7.45597,47.6532,"e","ei","V-short","a/o","Anke(n)"
"245",7.89786,47.65393,"ü","ei","V-short","a/o","Anke(n)"
"246",7.97459,47.65405,"ü","ei","V-short","a/o","Anke(n)"
"247",8.19315,47.65491,"ü","oa","V-short","a/o","Anke(n)"
"248",8.59899,47.65513,"ü","ei","V-short","a/o","Butter"
"249",7.28747,47.65547,"e","ei","V-short","a/o","Butter"
"250",7.64842,47.6562,"ü","ei","V-short","a/o","Anke(n)/Butter"
"251",7.14982,47.65627,"i/ie","ei","V-short","a/o","Butter"
"252",7.62759,47.65706,"ü","ä","V-short","a/o","Anke(n)"
"253",7.42684,47.65714,"ei/ai","ei","V-short","a/o","Anke(n)"
"254",7.79884,47.65734,"ü","ei","V-short","a/o","Butter"
"255",8.15262,47.65791,"ü","ei","V-short","a/o","Anke(n)"
