"","lfd","long","lat","hunde","type"
"128",128,7.63837,48.87814,"Hund","nd"
"129",129,7.61913,48.85878,"Hend","nd"
"130",130,7.62806,48.84844,"Hend","nd"
"131",131,7.62648,48.84525,"Hend","nd"
"132",132,7.60881,48.84422,"Hund","nd"
"133",133,7.59731,48.86227,"Hünd","nd"
"134",134,7.54972,48.85428,"Hung","ng"
"135",135,7.52526,48.87312,"Hund","nd"
"136",136,7.53932,48.84466,"Hund","nd"
"137",137,7.60881,48.84422,"Hund","nd"
"138",138,7.76471,48.91584,"Hund","nd"
"139",139,7.71711,48.91154,"Hund, Hind","nd"
"140",140,7.71468,48.89506,"Hind","nd"
"141",141,7.74283,48.90037,"Hund","nd"
"142",142,7.74557,48.89153,"Hunde","nd"
"143",143,7.76797,48.89675,"Hund, Hend","nd"
"144",144,7.79196,48.89991,"Hund  ","nd"
"145",145,7.78939,48.88652,"Hund, e paår Hund","nd"
"146",146,7.73641,48.87453,"Hend","nd"
"147",147,7.72032,48.88168,"Hund, Hind","nd"
"148",148,7.67936,48.86259,"Hend","nd"
"149",149,7.67856,48.89026,"Hund ","nd"
"150",150,7.92307,48.91408,"Hund","nd"
"151",151,7.88417,48.9137,"Hunde","nd"
"152",152,7.84913,48.90982,"Hund","nd"
"153",153,7.87665,48.90207,"Hund","nd"
"154",154,7.89812,48.8986,"Hund","nd"
"155",155,7.91634,48.89883,"Hund","nd"
"156",156,7.91693,48.8985,"Hund, Hund","nd"
"157",157,7.95587,48.90241,"Hund","nd"
"158",158,7.97777,48.90173,"Hund","nd"
"159",159,7.75568,48.88314,"Hind","nd"
"160",160,7.11324,48.83701,"Hund, Hunn","nd"
"161",161,7.06204,48.8233,"Hunn","nn"
"162",162,7.10907,48.81139,"Hund, Hunn","nd"
"163",163,7.08247,48.79646,"Hund,  Hunn","nd"
"164",164,7.29591,48.81267,"Hund","nd"
"165",165,7.28092,48.81935,"Hund","nd"
"166",166,7.26823,48.83392,"Hung","ng"
"167",167,7.2357,48.82915,"Hund","nd"
"168",168,7.25813,48.80543,"Hunn","nn"
"169",169,7.47851,48.82528,"Hund","nd"
"170",170,7.47851,48.82528,"Hund","nd"
"171",171,7.47956,48.81064,"Hind","nd"
"172",172,7.45399,48.80165,"Hond","nd"
"173",173,7.43717,48.81355,"Hend","nd"
"174",174,7.4034,48.82391,"Hund","nd"
"175",175,7.40138,48.80593,"Hend","nd"
"176",176,7.42386,48.79158,"Hund","nd"
"177",177,7.38025,48.78942,"Hind","nd"
"178",178,7.36064,48.76931,"Hend","nd"
"179",179,7.357,48.76744,"Hénd","nd"
"180",180,7.41332,48.7697,"Hund","nd"
"181",181,7.45083,48.76772,"Hund","nd"
"182",182,7.46685,48.75406,"Hind","nd"
"183",183,7.47938,48.77591,"Hund","nd"
