data,X_utm,Y_utm,class
Hund,399932.10876882,5428642.20564393,nd
Hund,406198.170492712,5433923.45893055,nd
Hund,404518.590226359,5432223.05943372,nd
Hund,406069.201624757,5431530.52366197,nd
Hund,413539.511341058,5431020.98394624,nd
Hund,411468.459971097,5428941.03443273,nd
Hunde,420533.568456218,5432216.13995719,nd
Hind,423411.839649651,5432134.49785601,nd
Hund,424685.090515333,5431477.74977222,nd
Hund,420537.381795907,5430798.46510584,nd
Hund,420910.441883933,5429885.85998023,nd
Hund,421780.800997444,5429218.64348191,nd
Hund,419046.59305503,5428149.32609079,nd
Hund,415947.22146561,5430096.69616865,nd
Hinn ,352962.094150253,5424119.40467883,nn
Hinn ,352139.351121064,5421664.05992579,nn
"H¡ͤnn , Hunn",363141.498328134,5429211.61838325,nn
Hunn,364683.202374336,5423702.77059711,nn
Hund,362716.698774077,5421281.81015209,nd
Hunn,359651.258100838,5420531.8734147,nn
Hienn,359901.378100787,5422459.79153589,nn
Hinn ,359901.378100787,5422459.79153589,nn
Hund,356805.199395851,5425915.55571588,nd
Hunn,357450.903183988,5423194.98209716,nn
Hinn,356374.831793121,5421982.46186667,nn
Hunn,355353.170974707,5422852.05624964,nn
Hund,367631.990109276,5426827.14228867,nd
Hunn,371139.912295703,5423947.54479883,nn
Hunn,366405.700692454,5423779.01204577,nn
Hunn,367227.038988961,5422438.0446923,nn
Hunn,380776.15634388,5398248.3765615,nn
Hund,369270.818857842,5420740.27339382,nd
Hinn,378303.571254842,5421305.0102987,nn
Hünd,381410.245452563,5419550.90305374,nd
Hund,387482.588743578,5421049.55763671,nd
Hind,398081.593159655,5421840.55618973,nd
"Hund, Hend",400636.512805789,5422905.17877126,nd
Hůnd,400636.512805789,5422905.17877126,nd
Hend,400636.512805789,5422905.17877126,nd
Hund,402104.873174248,5420783.12239915,nd
Hund,414494.212306172,5427397.00222734,nd
Hund,409376.78237017,5426813.23353743,nd
Hund,413408.252844195,5423347.66540873,nd
