"","utm_x","utm_y","l).Hunde","class","n_places","new"
"95",361605.102959845,5279076.64877711,"Hunde","nd",1,"nd"
"96",361657.06878698,5418217.13606957,"He(i)ng","ng",1,"ng"
"97",361775.400631525,5321182.04458426,"Hend","nd",1,"nd"
"98",361786.319695879,5311352.48342235,"Hünd, Hind","nd",1,"nd"
"99",361854.033129342,5413558.67063933,"Hund","nd",1,"nd"
"100",361886.901109691,5297988.11209342,"Hund","nd",1,"nd"
"101",361906.308813928,5262475.89864206,"Hing","ng",1,"ng"
"102",361935.001434041,5276257.77631294,"d' Hend, d' Hunda","nd",1,"nd"
"103",362026.076263291,5286456.80663261,"der Hund","nd",1,"nd"
"104",362238.814433688,5307367.28561387,"Hénd","nd",1,"nd"
"105",362475.462928334,5280995.27748924,"Hund","nd",1,"nd"
"106",362499.448368714,5311427.71690001,"Hünd","nd",1,"nd"
"107",362572.889414808,5309399.86516321,"der Hund","nd",1,"nd"
"108",362627.015890683,5290443.4484335,"Hund","nd",1,"nd"
"109",362715.435339094,5318253.74671636,"Hend","nd",1,"nd"
"110",362716.698774077,5421281.81015208,"Hund","nd",1,"nd"
"111",362741.180204185,5266358.00913114,"Hunde","nd",1,"nd"
"112",362999.699537875,5414787.22198662,"Hunn","nn",1,"nn"
"113",362999.836090402,5414792.77972914,"Hund","nd",1,"nd"
"114",363141.498328134,5429211.61838325,"H¡<U+0364>nn , Hunn","nn",1,"nn"
"115",363616.471091637,5296698.32205628,"Hind","nd",1,"nd"
"116",363619.610809515,5297880.28834524,"Hend","nd",1,"nd"
"117",363632.2588735,5299623.58731216,"Hind","nd",1,"nd"
"118",363634.005460046,5321643.58879172,"Hend","nd",1,"nd"
"119",363641.193361797,5269171.24091442,"Hunda","nd",1,"nd"
"120",363855.83104493,5323071.7346374,"Hund","nd",1,"nd"
"121",363865.152021837,5311073.91185442,"Hund","nd",1,"nd"
"122",363971.258842258,5306733.47464098,"Hend, Hend","nd, nd",2,"nd"
"124",364093.720557857,5419090.29987748,"Hünn ","nn",1,"nn"
"125",364455.687288051,5283520.7328107,"Hunde","nd",1,"nd"
"126",364526.66513868,5309907.39611608,"Hund","nd",1,"nd"
"127",364639.468938525,5417413.137136,"Hinn","nn",1,"nn"
"128",364683.202374336,5423702.77059711,"Hunn","nn",1,"nn"
"129",364861.548937845,5345114.30709598,"Hund, Hend, Hind","nd, nd, nd",3,"nd"
"132",364934.562542934,5415942.31139432,"Hünde","nd",1,"nd"
"133",365012.678251284,5412956.38197966,"Hun","nn",1,"nn"
"134",365098.624512878,5281299.67632923,"Hunda","nd",1,"nd"
"135",365466.016736553,5330198.55872026,"Tchee, Tchee","0",1,"0"
"136",365519.214716751,5315028.26020562,"Hend","nd",1,"nd"
"137",365714.950686442,5274999.66703074,"Hond","nd",1,"nd"
"138",365842.11286446,5263311.64863769,"Hunda","nd",1,"nd"
"139",366056.054639596,5266105.40335473,"Hunda","nd",1,"nd"
"140",366070.460386373,5322082.20508281,"k.A.","0",1,"0"
"141",366097.429604459,5282371.85060335,"Hunda","nd",1,"nd"
"142",366128.365903425,5303854.14168367,"Hund","nd",1,"nd"
"143",366197.508278109,5272765.84126687,"Hunde","nd",1,"nd"
"144",366281.646249937,5323656.3414582,"Hend","nd",1,"nd"
"145",366301.148409903,5307790.99561499,"Hund, Hund, Hunda, Hend, Hend, Hund","nd, nd, nd, nd, nd",5,"nd"
"150",366364.087046689,5417955.40618486,"Hinn ","nn",1,"nn"
"151",366405.700692454,5423779.01204577,"Hunn","nn",1,"nn"
"152",366484.197239349,5300992.58380438,"Hünd","nd",1,"nd"
"153",366575.391493394,5416398.83050642,"Hund, Hunn","nd, nn",1,"nd, nn"
"154",366829.231325729,5285109.30011647,"Hunde","nd",1,"nd"
"155",367044.446549404,5287460.5629076,"Hund, Hunde","nd",1,"nd"
