hunde,X,Y
Hund,363855.83104493,5323071.7346374
"Hund, Hend",386332.198714481,5328763.52095462
Hund,373808.607209036,5324504.44725003
Hund,371455.892349983,5318230.68719117
Hind,373227.975391613,5318898.53461117
Hund,371827.701768402,5321315.86630125
Hend,367692.817990604,5324780.11794654
Hend,366281.646249937,5323656.3414582
Hind,375417.013642615,5319514.4914019
k.A.,366070.460386373,5322082.20508281
"1 Hund, viel Hend",373260.624302885,5319668.39660994
"Hind, Hend",371913.218431913,5319899.54014974
Hund,373630.892087927,5322323.36517382
Hend,368715.936426166,5325873.05903983
Hound,378126.451651737,5326707.22745244
Hind,378126.451651737,5326707.22745244
Hend,378126.451651737,5326707.22745244
Huond,378126.451651737,5326707.22745244
Hund (Hend= Mehrzahl),378126.451651737,5326707.22745244
Hend,378126.451651737,5326707.22745244
Hend,381864.05720327,5322237.00013448
Heng,379403.712559225,5318305.30392472
"Hund, Hend",374139.7222753,5327295.96945851
Hind,386750.889720477,5324395.60073819
Hund,380344.621782497,5326569.32639513
"Hund, Hēnd",381381.964009856,5319869.71118953
Hund,381676.225934818,5326901.94674695
Hend,381931.270618944,5325032.03312157
Hind,383662.529351546,5320361.22828216
Hund,384971.548009486,5317941.0223268
Ho°nd,387277.560423642,5327073.70944663
Hind,395161.098450993,5322297.87915254
Hund,398750.890188225,5318921.46192959
Hund,399053.665000923,5322269.24997293
Hünd,397527.730653147,5324738.88739061
"Hund, Hind",398902.966448434,5326069.75206384
Hend,390317.065957414,5319395.33336947
Hend,390825.332520046,5325995.49362758
"Hund, Hend",392090.853063462,5319194.97682573
Hund,393533.684714007,5318519.88105062
"Hund, Hend",391525.101497987,5321823.97160705
Hůnd,388286.775728101,5320439.55280388
Hind,392377.544885869,5317933.2509055
Hund,389118.489865188,5317662.74878024
Hünd',411630.047062615,5318076.4389122
Hund,412517.799440649,5326053.76665199
Hünd,407738.15662923,5320578.92852822
Hind,402212.036715969,5319054.97179707
k.A.,408349.653875697,5324690.30229936
Hind,410728.697196289,5322429.35954531
Hind,410591.621929272,5324826.1252378
Hund,405121.535294062,5322607.12412189
Hund,409123.017332864,5323038.20759459
Hind,410568.537739878,5318844.36801153
Hint,409035.83928007,5323792.22463847
Hind,405103.238412468,5325691.40968897
Hund. Mehrzahl Hünd,404455.111058215,5319693.17913727
Hind,401729.992780243,5322878.75434089
Hind,415115.422136697,5319809.27591706
Hind,416012.318830601,5320559.81817333
Hünd,419840.571014921,5320738.56570181
Hünd,421740.154194192,5321602.8022829
Hind,422796.476480384,5322157.66667393
Hind,416011.870905906,5321752.65857559
Hünd,423951.926569362,5317095.39999041
Hünd,414405.970910949,5324042.00345048
Hund,416553.651055999,5324457.26300314
"Hund, Hünd",419905.819784665,5325252.12728719
Hind,418970.883440887,5326045.65542777
Hund,418235.513824912,5322584.33131997
Hunda,348089.909331976,5310423.95611396
Hind,347994.741083538,5316244.13693525
Hůnd,360321.364578795,5312012.78214478
Hünd,362499.448368714,5311427.71690001
Hend,362715.435339094,5318253.74671636
He-in,356228.831131975,5317676.11620977
"Hund, Hind",353303.758733248,5318621.89971775
der Hund,362572.889414808,5309399.86516321
"Hünd, Hind",361786.319695879,5311352.48342235
Hend,359763.202274519,5311611.55159577
Hůnd,372863.823928136,5313222.30079307
Hind,367114.497420374,5316304.46262351
"Hund, Händ",370061.76019603,5313033.55297123
Hend,365519.214716751,5315028.26020562
Hund,372580.844705105,5309747.0681468
Hund,363865.152021837,5311073.91185442
Hund,368161.74302002,5309938.7475157
Hund,367980.659783563,5310287.60468323
Hénd,368207.426953668,5314024.21653966
Hend,368207.426953668,5314024.21653966
Hund,364526.66513868,5309907.39611608
Hund,372437.107771159,5316410.80081133
Hond,372437.107771159,5316410.80081133
Hend,387180.683845441,5314695.1334012
Hend,379546.436147001,5312752.83475529
Hund,378929.538564702,5311296.95932826
Hund,379146.037107024,5311859.47857361
Hund,380464.007536726,5316008.22391584
Hund,378929.538564702,5311296.95932826
Hind,385262.803582507,5310950.53541839
Hind,380152.65189532,5313709.75214094
Hünd,380152.65189532,5313709.75214094
Hund,390860.236281177,5313935.96041233
Hund ,399958.437669092,5314882.40333838
Hend,399144.705840531,5310101.5884666
Hïnd,397458.047153041,5310200.28235364
Hend,392476.647008552,5316170.2890007
Hünd ,395555.984276979,5314895.03190568
Hend ,392610.166597661,5309920.57967627
Hend ,390879.985172329,5309419.41094944
Hĭͤnd',402133.772299212,5310323.5409635
Hund,402133.772299212,5310323.5409635
Hund,411439.130139317,5311046.80710366
Hünd,403812.654294625,5309805.00111052
Hind,406130.791270423,5308149.23875882
Hund,404914.973881596,5310234.73330903
Hind,406983.014545993,5310530.04762473
"Hund, Hind",407579.775817871,5312852.81032465
Hind,407744.079517789,5312482.19949736
Hind,408905.473603234,5312309.18369763
Hund,412633.240067939,5312169.15984733
Hünd,412317.812829789,5313227.83087703
Hind,410868.225128458,5314694.18253522
Hünd,412083.937310457,5315804.95870251
Hind,404186.43316702,5315115.06622507
Hund,404209.975162542,5317155.82204867
Hund,402880.781175452,5313643.88841573
Hund,403988.138313592,5312489.12252404
Hend,400849.070249427,5315711.921596
"Hund, Hünd",408796.68296677,5308123.13392085
Hund,408796.68296677,5308123.13392085
Hind,411092.590585111,5309546.92030003
Hind,400999.094819766,5308848.74040129
Hind,418162.469936368,5314412.40773552
Hünd,418135.49716915,5315454.4159455
Hĭnde,421135.060314481,5317326.7716844
Hund,422466.792509646,5315064.25725175
"Hund, Hünd",421661.969165798,5314329.24721737
Hund,423838.139057157,5313570.80762457
Hind,421814.688293973,5312768.65290675
Hund,421202.489820196,5309220.87142713
"Hund, Hind",414783.902624969,5309397.78441068
Hind,418509.059728163,5312901.1971316
Hĭnd,348703.633609055,5308290.2998201
Hunda,349476.371989206,5306727.55741367
Hend,349611.129696505,5305498.48305172
Hund,348566.280709847,5304108.94709446
Hunde,347125.191094579,5305270.18431124
Hunda,351300.792255279,5304967.60330281
Hunda,350829.168746121,5303913.25793804
Hund,353030.550869379,5303149.52528072
Hundă,355653.110581023,5300709.14070391
Hunda,352830.341804987,5304132.14990301
Hunde,354049.727347358,5302673.29171586
Hund,358168.988209367,5303991.88287189
Hénd,362238.814433688,5307367.28561387
Hunda,354827.059945889,5304806.67772925
Hend,363971.258842258,5306733.47464098
Hend,363971.258842258,5306733.47464098
Hund,366301.148409903,5307790.99561499
Hind,367574.596204817,5305162.94004612
Hund,366128.365903425,5303854.14168367
Hend,366301.148409903,5307790.99561499
Hünd,366484.197239349,5300992.58380438
"Hund, Hünd",372919.409163844,5299281.93619531
Hend,369825.991945586,5302212.88127097
Hend,373203.056084436,5304120.33554072
"Hund, Hind",371577.358911234,5305221.49874343
Hund,369487.848113191,5306981.88890389
Hėnd,372375.607240932,5307733.44210494
Hend,366301.148409903,5307790.99561499
"Hund, Hūnda",366301.148409903,5307790.99561499
Hund,366301.148409903,5307790.99561499
Hund,370762.82321414,5302745.59498601
"Hund, Hend",376921.930274095,5302631.10094238
Hundä˘,384289.675363713,5302840.17508507
Hund (Hind),385403.911445838,5305078.31926886
Hund,383974.222048779,5307391.72654167
Hünd,377398.752841512,5307746.78757434
"Hund, Hënd",376905.517714078,5306211.75264893
Hunde,367787.061549389,5270255.60502522
Hunde,370425.251084569,5271480.65658156
Hung,373624.696836275,5271622.83642884
Heng,372174.5264585,5269190.5386133
Hunda,363641.193361797,5269171.24091442
Hunda,366056.054639596,5266105.40335473
"Hung, Hüng",371033.085515006,5266745.06824112
Hend,371033.085515006,5266745.06824112
Heng,374480.880779034,5266624.3946491
Heng,373299.477490766,5267728.38960932
Hunde,369729.197108795,5269011.09723899
Hing,361906.308813928,5262475.89864206
Hunda,365842.11286446,5263311.64863769
Heing,369788.817186092,5262867.76809819
Hunde,362741.180204185,5266358.00913114
"Hing, Hung",367504.325113481,5260596.33827165
Hêng,368721.43336487,5262439.09096706
Hunda,372009.869405447,5262492.97777652
Hing,372009.869405447,5262492.97777652
Hing,372009.869405447,5262492.97777652
Cheng,370552.566477346,5260781.64308631
"Hung, Heng",372587.245475153,5259042.55347262
Hung,369120.196189731,5257828.1297024
Hund,380992.137683694,5270497.28314989
Hung,383145.306641386,5269259.7129591
Hong,384333.318023215,5269557.35649968
Hend,383176.427659944,5267618.10055478
Heng,383176.427659944,5267618.10055478
Hing,385661.492528728,5267452.18969623
Hünd,384794.648331981,5264332.93189509
Hing,385343.954232045,5264502.23914943
Hing,378155.912990049,5267254.82594025
Hung,375265.182961076,5262591.66397971
Hing,374849.865437537,5265081.03299925
Hung,376368.925885043,5263912.42528931
Heng,378220.227359547,5262462.69566858
Hung,375320.478800309,5268218.58026501
"Hund, Hundä",378432.738896297,5271509.54122759
Hung,383255.778238908,5271734.5593765
Hing,374569.380651024,5260110.48244611
"Hung, Hing (Mehrzahl)",379030.137399655,5260714.82344926
"Hung, Hing (Mehrzahl)",379030.137399655,5260714.82344926
Hung,383881.085864796,5261749.47062649
"Hung, Hing (Merzahl)",385678.931311905,5261334.96322437
"Hung, Heng",376918.236548769,5259230.11046182
"Hong, Heng",377988.825998579,5258334.94474088
Hung,379994.668724283,5257695.37002083
"Hing, Hung (Einzahl)",383039.423939268,5258538.77413176
Hung,376233.307208213,5255423.25428669
Hend,388781.596239689,5270272.47661592
"Hun, Hün",387903.588565915,5268466.00391335
Hend,388925.472791475,5268582.10852707
Hīnd,391990.295555909,5271259.45489644
Hung,388232.020542477,5264508.57207578
Hünd,399635.968045726,5267299.86088485
Hünd,390737.666584984,5270480.10765234
Hünde,367848.987048899,5279978.95139549
Hunda,371406.47572977,5279428.90891828
k.A.,373067.25825497,5277938.1140967
Hunda,369629.072081298,5277720.54938307
Hunda,367318.06772432,5277811.67186539
Hond,365714.950686442,5274999.66703074
Hend,367774.260624911,5276224.60184642
"Hund, Hind",367774.260624911,5276224.60184642
Hund,370620.9725111,5275519.12076895
Hund,371702.546626254,5275919.94211542
Hunde,372438.558196082,5275615.80428742
Hung,373966.045066999,5273737.98530149
Hunde,366197.508278109,5272765.84126687
Hünda,368781.873981655,5271764.22962314
Hunda,375861.16064123,5279671.29115033
Hüng,381562.063439891,5280538.64028137
Hüng,381875.256556871,5279392.66419799
Heng,383062.82281487,5278643.78366902
Heng,384053.784697243,5278910.80230669
Hunde,375951.507382107,5276648.46256879
"Hing, Heng",380686.56272369,5277433.43189297
Hung,381999.08534371,5275939.10218356
Heng,385596.121368611,5276736.76378754
Hung,376332.338234237,5273095.80884158
Hunda,377371.8880832,5272679.15317024
Hend,371825.280553393,5327313.89629302
Heng,384555.554022727,5272194.53818008
Heng,384555.554022727,5272194.53818008
Hing,382896.984728697,5275214.99258408
Heng,384222.724246864,5275921.16791248
"Hunda, (Hing)",378043.127242727,5278945.81624187
Hung,379395.092170957,5278750.86920805
Hung,379395.092170957,5278750.86920805
Hunde,377349.034309843,5275773.86826149
k.A.,390037.257720168,5279757.45762024
Hünd,392212.449793747,5278386.00145643
Hünd,392212.449793747,5278386.00145643
Hung,394610.970349127,5279872.92799565
Hūng,396948.64357823,5279097.3239048
Hünd,398511.030630521,5278974.26103375
Hüng,398947.942484333,5280560.83626275
Hünd,397956.539673239,5277293.05657686
Hünd,396630.578570312,5276242.53394071
Hünd,394462.865315368,5276259.1722247
k.A.,393391.466031692,5275819.53952969
Hind,389948.682797612,5276978.6346283
Hend,389452.091210462,5275558.32501214
Huend,386956.047251659,5273081.39887184
Hend,386956.047251659,5273081.39887184
Hend,386956.047251659,5273081.39887184
Hünd,392630.349227626,5273423.2872262
Hind,393522.417864042,5271837.17722223
Hund,397228.172766254,5271946.35572434
Hünd,399604.128958225,5274106.10905687
Hünd,399604.128958225,5274106.10905687
"Hund, Hünd",398997.640545438,5275763.00121248
Hünd,395825.816233476,5274312.48876563
Hüng,396410.514556638,5275277.03389215
Hünd,404479.352377613,5279442.41624394
"Hund, Hünd",409807.740730552,5278914.95598049
Hünd,411620.256391719,5278041.20146243
Hünd,400769.410073814,5276804.21481942
Hünd,401889.801124781,5277434.4520379
Hünd,401768.681665949,5276444.87731885
Hund,405299.554295136,5277555.86182095
Hünd,405788.437788722,5276987.65621675
Hünd,405428.089073343,5276079.71575623
Hünd,408200.350339759,5277095.87203842
Hünd,410787.513557253,5276588.77770726
Hünd,411091.755244911,5274566.52879954
Hünd,406902.883264373,5274228.4134949
Hünd,409100.112334191,5272886.45409164
Hünd,408880.233181358,5268047.64351044
Hünd,401333.931064826,5271356.30760473
"Hund, Hünde",409677.640326391,5271292.30268681
"Hund, Hünd",409677.640326391,5271292.30268681
Hünd,407615.03279394,5269643.81322563
"Hund, Hünd ",408880.233181358,5268047.64351044
Hund,404378.710969586,5267617.15407509
Hünd,401511.158970215,5267104.5280092
Hund,412606.890632815,5279366.92114421
Hund,415067.8149526,5279676.19230714
Hünd,417237.441646837,5278425.50298533
Hünd,422999.415062465,5278359.76571783
Hünd,424339.989525022,5277952.02739473
Hünnd,423080.221189754,5276460.14032777
Hünd,421019.822986517,5275604.01482267
Hünd,423182.96128027,5274451.30101392
Hünd,421799.292961056,5273774.97388836
Hünd,422794.674257457,5272995.83954991
Hünd,418350.468064715,5271556.85987253
Hünd,415791.504029217,5271761.09044995
Hünd,414101.742713613,5274251.2657228
Hünd,417697.324589161,5275677.7955453
Hund,412743.090819434,5277731.90717122
Hünde,418268.680880782,5268938.01799607
Hünd,421914.271057165,5269560.61138242
Hund,360846.025064189,5269650.84264657
Hunda,359914.533470417,5270569.36471441
Hēnd,390699.43029175,5307975.25993878
Hiend,390699.43029175,5307975.25993878
Händ,390396.810747869,5304476.59827182
Hend,389070.049387929,5300968.61947799
Hind,398054.9560166,5300293.97941129
Hünd,398247.38208666,5301574.65316279
Hünd,400368.446883653,5302830.63871026
Hünd,399249.862405437,5305042.39874667
Hund,397181.720095769,5307985.01021998
Hund,394741.736551069,5303158.34650094
Hünd,393589.171169104,5299833.0267129
Hünd,400290.190926957,5306397.33325195
Hünd,401336.865326197,5304391.5608331
Hind,402553.235078003,5302822.27207225
"Hund, Hind",402822.572179127,5301624.86039085
Hund,400885.971616205,5312219.27302814
Hund,403273.428682999,5299461.68436854
"Hund, Hünde",409225.221775615,5300917.08973593
Hünd,409789.203562247,5299371.92381049
Hund,405019.614640166,5303928.47252762
"Hund, Hind",404419.483939296,5302822.21707593
"Hund, Hind",403122.140856019,5308014.45340765
Hünd,406759.731365706,5307669.89472203
Hind,411150.906345808,5302704.74797206
Hind,414801.080540496,5300228.57938828
Hund,416303.024745379,5299310.65614389
Hind,419818.689427223,5299406.46091907
Hind,420952.008045701,5300251.2488
Hind,419009.238880122,5300974.02126659
Hünd,421432.059387605,5305176.96625735
hind,417622.604769293,5305880.39213858
"Hund, Hind",422694.998549713,5309434.10417808
Hund,413150.359551828,5306839.75169798
Hünd,415927.193802772,5305108.90079606
Hend,423209.454751416,5299128.11057458
Hind,412957.532469283,5303369.80829422
Hend,345169.299328907,5296763.17479467
Honde,346010.859566793,5297051.01024576
Hunda,346355.372491678,5298569.92996541
Hund-da,347212.025455936,5295980.44846143
Hunda (Hend),348614.712779367,5294173.11924191
Hunda,343284.377759018,5296964.04722712
Hunda,349697.734901068,5292986.1103846
"Hend, Hunda",348071.595329469,5294241.83235151
Hund,352449.045944307,5295428.6896146
Hunde,354561.110386197,5293147.80555553
Hundå,354186.080078661,5290993.17183468
Hind,351775.525498242,5291273.37191861
Hunde,356743.712398726,5293440.38845088
Hunda,357704.391839679,5295046.94885628
